gene,regulated,GO_IDS
TAF5,up,GO:0005515 GO:0016251 GO:0042802 GO:0006282 GO:0006352 GO:0006357 GO:0006367 GO:0006468 GO:0035521 GO:0035522 GO:0042789 GO:0043966 GO:0045893 GO:0051123 GO:0060261
RBM3,up,GO:0003723 GO:0005515 GO:0043023 GO:0006396 GO:0006417 GO:0045727 GO:0048026
SERPINB7,down,GO:0004867 GO:0010951 GO:0032914 GO:0032967 GO:0072126 GO:0090362
MTA2,up,GO:0003713 GO:0003714 GO:0004407 GO:0005515 GO:0031492 GO:0042826 GO:0043565 GO:0046872 GO:0061629 GO:0000122 GO:0006306 GO:0006325 GO:0006338 GO:0006351 GO:0010762 GO:0016575 GO:0042659 GO:0045892 GO:0045893 GO:0045944 GO:2000736
IRAK2,up,GO:0004672 GO:0004674 GO:0005515 GO:0005524 GO:0042803 GO:0046982 GO:0001959 GO:0002755 GO:0006468 GO:0006954 GO:0007249 GO:0019221 GO:0031663 GO:0032088 GO:0035556 GO:0051092 GO:0070498 GO:0070555
MYCT1,up,
SPAG7,up,
SHC4,down,GO:0005515 GO:0019901 GO:0019904 GO:0030971 GO:0006915 GO:0007169 GO:0008284 GO:0010468 GO:0035556 GO:0048863
STXBP6,down,GO:0005546 GO:0098641 GO:0006887 GO:0006893 GO:0035493 GO:0035542 GO:0045920 GO:0098609
ITPKB,up,GO:0000828 GO:0005515 GO:0005516 GO:0005524 GO:0008440 GO:0016301 GO:0000165 GO:0001932 GO:0002262 GO:0007165 GO:0007166 GO:0016310 GO:0032957 GO:0032958 GO:0033030 GO:0035726 GO:0045059 GO:0045638 GO:0046579 GO:0046638 GO:0046854 GO:0071277
FAM83H,down,GO:0005515 GO:0019901 GO:1990254 GO:0007165 GO:0030335 GO:0031214 GO:0044380 GO:0045104
C8orf82,up,
SLC6A8,down,GO:0003674 GO:0005308 GO:0005309 GO:0006600 GO:0006836 GO:0006936 GO:0015881 GO:0035725 GO:0071705
EGLN3,down,GO:0005515 GO:0008198 GO:0016706 GO:0031418 GO:0031543 GO:0031545 GO:0001666 GO:0006915 GO:0006919 GO:0006974 GO:0018126 GO:0018401 GO:0042127 GO:0043523 GO:0071456
FAM229B,down,
TNFRSF9,down,GO:0005515 GO:0038023 GO:0006915 GO:0008285 GO:0033084 GO:0042127
PLCL1,down,GO:0004435 GO:0004629 GO:0050811 GO:0070679 GO:0006629 GO:0007214 GO:0032228 GO:0035556 GO:0048015 GO:0120163 GO:1900122
ELOVL3,down,GO:0005515 GO:0009922 GO:0102336 GO:0102338 GO:0102756 GO:0006636 GO:0019367 GO:0030148 GO:0034625 GO:0034626 GO:0035338 GO:0036109 GO:0042761 GO:0043651 GO:0120162
HAUS2,up,GO:0003674 GO:0005515 GO:0007020 GO:0007098 GO:0051225 GO:0051301
SLC46A3,down,GO:0022857 GO:0034486 GO:0055085
PFKL,up,GO:0003872 GO:0005515 GO:0005524 GO:0016208 GO:0019900 GO:0042802 GO:0046872 GO:0048029 GO:0070061 GO:0070095 GO:0006002 GO:0006096 GO:0009749 GO:0030388 GO:0046676 GO:0061621
CDK1,up,GO:0001618 GO:0003682 GO:0004672 GO:0004674 GO:0004693 GO:0005515 GO:0005524 GO:0008353 GO:0030332 GO:0030544 GO:0035173 GO:0097472 GO:0106310 GO:0000086 GO:0000226 GO:0006260 GO:0006281 GO:0006468 GO:0006915 GO:0007095 GO:0007098 GO:0007344 GO:0009410 GO:0009636 GO:0010628 GO:0010629 GO:0010971 GO:0014038 GO:0014075 GO:0014823 GO:0016477 GO:0016570 GO:0016579 GO:0018105 GO:0018107 GO:0030261 GO:0030855 GO:0031100 GO:0034501 GO:0042307 GO:0042752 GO:0043066 GO:0045471 GO:0045740 GO:0045995 GO:0046686 GO:0046688 GO:0046718 GO:0048144 GO:0048511 GO:0048678 GO:0051301 GO:0055015 GO:0060045 GO:0065003 GO:0070301 GO:0070371 GO:0071407 GO:0090166 GO:1900182 GO:1905448
LSR,down,
TMEM145,down,
RAD51,up,GO:0000150 GO:0003676 GO:0003682 GO:0003690 GO:0003697 GO:0005515 GO:0005524 GO:0008022 GO:0008094 GO:0017116 GO:0019899 GO:0042802 GO:0070182 GO:0140664 GO:0000722 GO:0000724 GO:0000730 GO:0001932 GO:0006268 GO:0006281 GO:0006310 GO:0006312 GO:0006974 GO:0007131 GO:0009410 GO:0009636 GO:0010165 GO:0010569 GO:0010833 GO:0031297 GO:0035518 GO:0036297 GO:0042148 GO:0051106 GO:0051321 GO:0051865 GO:0070192 GO:0071479 GO:0071480 GO:0072711 GO:0072719 GO:0072757 GO:1904631 GO:1990414 GO:1990426 GO:2000001
CKS1B,up,GO:0005515 GO:0019901 GO:0042393 GO:0043130 GO:0061575 GO:0006355 GO:0007346 GO:0044772 GO:0045737 GO:0048144 GO:0051301
GALNT12,down,GO:0004653 GO:0030246 GO:0046872 GO:0006493 GO:0016266
SMPD4,no,GO:0004767 GO:0046872 GO:0050290 GO:0006685 GO:0007029 GO:0046475 GO:0046513 GO:0071356
ANO2,down,GO:0005229 GO:0005254 GO:0005515 GO:0046983 GO:0034220 GO:0055085 GO:1902476
WDR5,up,GO:0005515 GO:0035064 GO:0042393 GO:0001501 GO:0006094 GO:0006355 GO:0006357 GO:0031063 GO:0031175 GO:0043966 GO:0043981 GO:0043982 GO:0043984 GO:0044154 GO:0045722 GO:0045815 GO:0045893 GO:0045995 GO:0051302 GO:0051568 GO:0051571 GO:0051572 GO:0051726 GO:0090043 GO:1900095
WDR76,up,GO:0003677 GO:0005515 GO:0019899 GO:0006974 GO:2000001
FEN1,up,GO:0000287 GO:0003677 GO:0003684 GO:0003690 GO:0004519 GO:0004523 GO:0004527 GO:0005515 GO:0008309 GO:0008409 GO:0017108 GO:0030145 GO:0048256 GO:0000724 GO:0006260 GO:0006281 GO:0006287 GO:0006302 GO:0007613 GO:0009650 GO:0032201 GO:0043137 GO:0045876 GO:0090305 GO:0090502
CDT1,up,GO:0003677 GO:0003682 GO:0005515 GO:0070182 GO:0000076 GO:0000278 GO:0007059 GO:0030174 GO:0031334 GO:0033044 GO:0033262 GO:0035563 GO:0045740 GO:0045786 GO:0051301 GO:0051315 GO:0051383 GO:0071163 GO:0072708 GO:1902426 GO:1902595 GO:1905341 GO:1905342 GO:2000104 GO:2000105
COL4A4,down,GO:0005201 GO:0030020 GO:0060090 GO:0030198 GO:0032836
NUAK1,down,GO:0002039 GO:0004674 GO:0005515 GO:0005524 GO:0046872 GO:0106310 GO:0006468 GO:0006974 GO:0007155 GO:0030155 GO:0035507 GO:0035556 GO:0042127 GO:0042149 GO:1901796 GO:2000772
CIZ1,up,GO:0003676 GO:0005515 GO:0008270 GO:0030332 GO:0032298 GO:0051457
CERS4,down,GO:0003677 GO:0005515 GO:0016410 GO:0050291 GO:0030148 GO:0046513
VPS36,up,GO:0005515 GO:0008022 GO:0032266 GO:0043130 GO:0016236 GO:0036258 GO:0043328 GO:0090148
PCYOX1L,down,GO:0001735 GO:0030327 GO:0030328
CD14,down,GO:0001530 GO:0001847 GO:0005515 GO:0016019 GO:0070891 GO:0071723 GO:0006898 GO:0006909 GO:0006915 GO:0006954 GO:0007166 GO:0009408 GO:0031663 GO:0031666 GO:0032026 GO:0032481 GO:0032729 GO:0032757 GO:0032760 GO:0034142 GO:0034145 GO:0034612 GO:0045087 GO:0045471 GO:0045807 GO:0051602 GO:0071219 GO:0071222 GO:0071223 GO:0071726 GO:0071727 GO:1901224
SLC40A1,down,GO:0005381 GO:0005515 GO:0015093 GO:0017046 GO:0042802 GO:0046872 GO:0002260 GO:0003158 GO:0006366 GO:0006879 GO:0006915 GO:0034395 GO:0034755 GO:0043066 GO:0045944 GO:0051649 GO:0055072 GO:0060345 GO:0060586 GO:1903988
CTPS1,up,GO:0003883 GO:0005515 GO:0005524 GO:0042802 GO:0006139 GO:0006241 GO:0006541 GO:0009410 GO:0019856 GO:0042098 GO:0042100 GO:0044210
CHMP2B,no,GO:0005515 GO:0019904 GO:0045296 GO:0001778 GO:0006914 GO:0006997 GO:0007032 GO:0007080 GO:0010824 GO:0015031 GO:0016236 GO:0019076 GO:0031468 GO:0032509 GO:0036258 GO:0039702 GO:0043162 GO:0045324 GO:0046761 GO:0050890 GO:0051469 GO:0060548 GO:0061763 GO:0061952 GO:0070050 GO:0071985 GO:0090148 GO:0097352 GO:1901673 GO:1902774 GO:1904903
GLI1,down,GO:0000976 GO:0000977 GO:0000978 GO:0000981 GO:0001228 GO:0003677 GO:0003682 GO:0005515 GO:0008017 GO:0046872 GO:0001649 GO:0006357 GO:0007224 GO:0007286 GO:0007418 GO:0008284 GO:0008589 GO:0009611 GO:0009913 GO:0009953 GO:0009954 GO:0021696 GO:0021938 GO:0021983 GO:0030324 GO:0030850 GO:0045667 GO:0045740 GO:0045880 GO:0045893 GO:0045944 GO:0048546 GO:0060032 GO:0060045 GO:0090090 GO:0097421 GO:1902808 GO:1990787 GO:2000345
DUT,up,GO:0000287 GO:0003723 GO:0004170 GO:0005515 GO:0006139 GO:0006226 GO:0006231 GO:0006260 GO:0046081
NYAP2,down,GO:0005515 GO:0014065 GO:0048812
TOE1,up,GO:0000175 GO:0003723 GO:0004535 GO:0005515 GO:0017069 GO:0046872 GO:0034472 GO:0090503
STAP2,up,
NSMAF,up,GO:0005515 GO:0016230 GO:0006672 GO:0007165 GO:0043065 GO:0050790
HELLS,up,GO:0003682 GO:0004386 GO:0005515 GO:0005524 GO:0016787 GO:0140658 GO:0001655 GO:0001822 GO:0006306 GO:0006346 GO:0006915 GO:0007049 GO:0010216 GO:0031508 GO:0046651 GO:0051301 GO:1990830 GO:2001243
PADI2,down,GO:0004668 GO:0005509 GO:0030331 GO:0042803 GO:0140798 GO:0016570 GO:0021762 GO:0030520 GO:0045815 GO:0070100 GO:1901624 GO:1990830
TFCP2L1,down,GO:0000978 GO:0000981 GO:0001228 GO:1990837 GO:0000122 GO:0000902 GO:0002070 GO:0006357 GO:0007028 GO:0007431 GO:0008340 GO:0045927 GO:0045944
SBDSP1,up,
EIF4G2,up,GO:0003723 GO:0003729 GO:0003743 GO:0005515 GO:0008135 GO:0045296 GO:0006413 GO:0006446 GO:0008219 GO:0010507 GO:0030307 GO:0034645 GO:0051726
G6PD,down,GO:0004345 GO:0005515 GO:0005536 GO:0042802 GO:0042803 GO:0050661 GO:0006006 GO:0006098 GO:0006629 GO:0006695 GO:0006739 GO:0006740 GO:0006749 GO:0009051 GO:0010041 GO:0010734 GO:0014070 GO:0019322 GO:0021762 GO:0032094 GO:0034599 GO:0043249 GO:0043523 GO:0045471 GO:0046390 GO:0051156 GO:0061052 GO:1904879 GO:2000378
HASPIN,up,GO:0004672 GO:0005515 GO:0005524 GO:0072354 GO:0106310 GO:0000278 GO:0006325 GO:0006468 GO:0007064 GO:0007094 GO:0016570 GO:0035556 GO:0071459
SUV39H2,up,GO:0000976 GO:0005515 GO:0008270 GO:0018024 GO:0046974 GO:1904047 GO:0000122 GO:0006325 GO:0006338 GO:0007049 GO:0030154 GO:0034968 GO:0036123 GO:0036124 GO:0042754 GO:0045892 GO:0048511 GO:0071456
TAF9,up,GO:0000976 GO:0002039 GO:0003677 GO:0003713 GO:0004402 GO:0005515 GO:0016251 GO:0046982 GO:0051117 GO:0070742 GO:0140297 GO:0000492 GO:0006282 GO:0006355 GO:0006357 GO:0006468 GO:0006974 GO:0016573 GO:0032435 GO:0035521 GO:0035522 GO:0042789 GO:0043066 GO:0043484 GO:0043966 GO:0045893 GO:0045944 GO:0050821 GO:0051123 GO:0060261 GO:0060760 GO:0070555 GO:1902065 GO:1902166
SEMA6B,down,GO:0005515 GO:0030215 GO:0045499 GO:0001755 GO:0007411 GO:0007417 GO:0021766 GO:0030335 GO:0048843 GO:0050919 GO:0071526
DAW1,down,GO:0005515 GO:1990756 GO:0000209 GO:0007368 GO:0007507 GO:0008150 GO:0036158 GO:0051649 GO:0090660
AKT1,up,GO:0004672 GO:0004674 GO:0004712 GO:0005515 GO:0005516 GO:0005524 GO:0005547 GO:0016301 GO:0019899 GO:0019901 GO:0030235 GO:0030291 GO:0042802 GO:0042803 GO:0043325 GO:0071889 GO:0099104 GO:0106310 GO:0001649 GO:0001893 GO:0001934 GO:0001938 GO:0002042 GO:0003376 GO:0005978 GO:0005979 GO:0006006 GO:0006417 GO:0006468 GO:0006469 GO:0006606 GO:0006809 GO:0006924 GO:0006954 GO:0006979 GO:0007165 GO:0007173 GO:0007186 GO:0007249 GO:0007281 GO:0008283 GO:0008284 GO:0008286 GO:0008637 GO:0008643 GO:0009408 GO:0010467 GO:0010507 GO:0010595 GO:0010628 GO:0010629 GO:0010748 GO:0010761 GO:0010763 GO:0010765 GO:0010907 GO:0010918 GO:0010951 GO:0010975 GO:0014065 GO:0016242 GO:0016310 GO:0016567 GO:0018105 GO:0018107 GO:0019221 GO:0030154 GO:0030307 GO:0030334 GO:0031295 GO:0031397 GO:0031641 GO:0031663 GO:0031929 GO:0031999 GO:0032079 GO:0032091 GO:0032094 GO:0032287 GO:0032436 GO:0032869 GO:0033138 GO:0034405 GO:0034614 GO:0035556 GO:0035655 GO:0035924 GO:0036294 GO:0038061 GO:0042593 GO:0042981 GO:0043066 GO:0043154 GO:0043161 GO:0043276 GO:0043488 GO:0043491 GO:0043536 GO:0045429 GO:0045600 GO:0045725 GO:0045737 GO:0045746 GO:0045861 GO:0045893 GO:0045944 GO:0046326 GO:0046622 GO:0046777 GO:0046889 GO:0048009 GO:0048266 GO:0048661 GO:0051000 GO:0051091 GO:0051146 GO:0051247 GO:0060079 GO:0060416 GO:0060644 GO:0060716 GO:0070141 GO:0070848 GO:0071276 GO:0071356 GO:0071364 GO:0071380 GO:0071901 GO:0072655 GO:0072656 GO:0090201 GO:0097011 GO:0097194 GO:0099175 GO:0140052 GO:1900087 GO:1900182 GO:1901215 GO:1901796 GO:1902176 GO:1903038 GO:1903078 GO:1903721 GO:1990090 GO:1990418 GO:2000010 GO:2000074 GO:2000402 GO:2001240
NCAPG2,up,GO:0005515 GO:0008047 GO:0030293 GO:0035033 GO:0035064 GO:0043425 GO:0000070 GO:0001833 GO:0006366 GO:0030218 GO:0030261 GO:0031063 GO:0051301 GO:0051984 GO:0061099 GO:1905820 GO:1905821 GO:2000272
CREB3L3,down,GO:0000976 GO:0000977 GO:0000978 GO:0000981 GO:0001228 GO:0005515 GO:0035497 GO:0042802 GO:0042803 GO:0046982 GO:0002675 GO:0006357 GO:0030968 GO:0045944 GO:1990440
FRY,down,GO:0004857 GO:0000902 GO:0031175 GO:0043086 GO:1904428
ARHGAP19,up,GO:0005096 GO:0005515 GO:0007165 GO:0050790 GO:0051056
NRBP1,up,GO:0004674 GO:0005515 GO:0005524 GO:0042803 GO:0006468 GO:0006888 GO:0035556
RHOJ,up,GO:0003924 GO:0005515 GO:0005525 GO:0001525 GO:0006897 GO:0007163 GO:0008360 GO:0010594 GO:0030036 GO:0032488 GO:0061299 GO:0090050 GO:1903670
SKA1,up,GO:0005515 GO:0008017 GO:0000278 GO:0007059 GO:0031110 GO:0051301
HOOK1,down,GO:0003779 GO:0005515 GO:0008017 GO:0042802 GO:0042803 GO:0051959 GO:0007030 GO:0007032 GO:0007040 GO:0008333 GO:0015031 GO:0030705 GO:0031122 GO:0045022 GO:1905198 GO:1905719
KANK3,down,
ARL15,down,GO:0003674 GO:0003924 GO:0005515 GO:0005525 GO:0008150
CNP,up,GO:0003723 GO:0004113 GO:0005515 GO:0030551 GO:0000226 GO:0007268 GO:0007409 GO:0007568 GO:0008344 GO:0009214 GO:0009636 GO:0021762 GO:0030900 GO:0032496 GO:0046902 GO:0048709
CPSF6,up,GO:0003723 GO:0003729 GO:0005515 GO:0043023 GO:1990448 GO:0006397 GO:0031124 GO:0046833 GO:0051179 GO:0051262 GO:0051290 GO:0098789 GO:0110104 GO:1990120
DNAJA1,no,GO:0001664 GO:0001671 GO:0005515 GO:0005524 GO:0030544 GO:0030957 GO:0031625 GO:0046872 GO:0050750 GO:0051082 GO:0051087 GO:0055131 GO:0006457 GO:0006986 GO:0007283 GO:0009408 GO:0030317 GO:0030521 GO:0031397 GO:0042026 GO:0043065 GO:0043066 GO:0043508 GO:0051223 GO:0070585 GO:1901998 GO:1903748 GO:1905259
TNFSF15,down,GO:0005102 GO:0005125 GO:0005164 GO:0005515 GO:0006915 GO:0006919 GO:0006955 GO:0007165 GO:0007250
PHF2,up,GO:0003712 GO:0003713 GO:0005506 GO:0005515 GO:0008270 GO:0032452 GO:0032454 GO:0035064 GO:0035575 GO:0001889 GO:0006351 GO:0006357 GO:0006482 GO:0016570 GO:0045815 GO:0045893 GO:0061188
CXXC4,down,GO:0008270 GO:0008327 GO:0030165 GO:0007352 GO:0016055 GO:0030178
MIR4751,up,
SMC4,up,GO:0003682 GO:0003697 GO:0005515 GO:0005524 GO:0016887 GO:0000070 GO:0007076 GO:0010032 GO:0045132 GO:0051301 GO:0051383 GO:0051984 GO:1905820 GO:1905821
BMP2,down,GO:0005102 GO:0005125 GO:0005515 GO:0008083 GO:0019211 GO:0039706 GO:0043539 GO:0046332 GO:0070700 GO:0000122 GO:0001501 GO:0001649 GO:0001658 GO:0001666 GO:0001701 GO:0001837 GO:0001934 GO:0001938 GO:0002062 GO:0003130 GO:0003176 GO:0003181 GO:0003203 GO:0003210 GO:0003272 GO:0003308 GO:0003331 GO:0006029 GO:0006355 GO:0006366 GO:0006468 GO:0006954 GO:0007219 GO:0007267 GO:0007507 GO:0008284 GO:0008285 GO:0009617 GO:0009887 GO:0010628 GO:0010629 GO:0010718 GO:0010862 GO:0010894 GO:0010922 GO:0016055 GO:0021537 GO:0021978 GO:0030177 GO:0030282 GO:0030316 GO:0030335 GO:0030501 GO:0030509 GO:0030512 GO:0030858 GO:0031648 GO:0032092 GO:0032348 GO:0033690 GO:0035051 GO:0035054 GO:0035360 GO:0036305 GO:0042475 GO:0042482 GO:0042487 GO:0043065 GO:0043407 GO:0043410 GO:0043569 GO:0045165 GO:0045599 GO:0045600 GO:0045666 GO:0045669 GO:0045778 GO:0045786 GO:0045892 GO:0045893 GO:0045944 GO:0048662 GO:0048708 GO:0048711 GO:0048762 GO:0048839 GO:0051042 GO:0051091 GO:0055007 GO:0055008 GO:0060039 GO:0060128 GO:0060129 GO:0060317 GO:0060348 GO:0060389 GO:0060391 GO:0060395 GO:0060485 GO:0060804 GO:0061036 GO:0061312 GO:0070374 GO:0071407 GO:0071773 GO:0071902 GO:0072138 GO:0090090 GO:1900159 GO:1900745 GO:1901522 GO:1902895 GO:1905072 GO:1905222 GO:2000065 GO:2000726
TRA2A,up,GO:0003723 GO:0005515 GO:0000398 GO:0048026
EDN1,down,GO:0005125 GO:0005179 GO:0005515 GO:0031707 GO:0031708 GO:0000122 GO:0001516 GO:0001569 GO:0001701 GO:0001821 GO:0001975 GO:0003100 GO:0003253 GO:0003357 GO:0006366 GO:0006468 GO:0006874 GO:0006885 GO:0007005 GO:0007166 GO:0007186 GO:0007193 GO:0007204 GO:0007205 GO:0007249 GO:0007267 GO:0007585 GO:0007589 GO:0008284 GO:0009953 GO:0010193 GO:0010259 GO:0010460 GO:0010595 GO:0010613 GO:0010629 GO:0010737 GO:0010827 GO:0014034 GO:0014065 GO:0014823 GO:0014824 GO:0014826 GO:0019229 GO:0019233 GO:0019722 GO:0030072 GO:0030185 GO:0030195 GO:0030335 GO:0030593 GO:0030878 GO:0031583 GO:0032308 GO:0032496 GO:0033574 GO:0034392 GO:0034696 GO:0035050 GO:0035094 GO:0035810 GO:0035815 GO:0035994 GO:0042045 GO:0042310 GO:0042313 GO:0042474 GO:0042482 GO:0042554 GO:0043179 GO:0043200 GO:0043406 GO:0043507 GO:0044321 GO:0044751 GO:0045321 GO:0045429 GO:0045793 GO:0045840 GO:0045944 GO:0045987 GO:0046887 GO:0046888 GO:0048016 GO:0048661 GO:0048675 GO:0051091 GO:0051216 GO:0051248 GO:0051482 GO:0051771 GO:0051899 GO:0051930 GO:0060070 GO:0060137 GO:0060298 GO:0060385 GO:0060585 GO:0061051 GO:0061626 GO:0070101 GO:0070294 GO:0070301 GO:0070371 GO:0070588 GO:0071277 GO:0071310 GO:0071346 GO:0071347 GO:0071356 GO:0071372 GO:0071373 GO:0071385 GO:0071389 GO:0071398 GO:0071456 GO:0071466 GO:0071548 GO:0071560 GO:0086100 GO:0086101 GO:0090023 GO:0097492 GO:1901224 GO:1902074 GO:1902287 GO:1903537 GO:1904707 GO:2000273 GO:2001259
DHRS11,up,GO:0000166 GO:0000253 GO:0004303 GO:0044594 GO:0072555 GO:0072582 GO:0102176 GO:0006694 GO:0006703
SEPTIN5,down,GO:0003924 GO:0005198 GO:0005515 GO:0005525 GO:0042802 GO:0060090 GO:0016080 GO:0017157 GO:0030534 GO:0035176 GO:0061640 GO:2000300
BRD9,up,GO:0003676 GO:0005515 GO:0070577 GO:0006338 GO:0006357 GO:0008150 GO:0008284 GO:0045596 GO:1902459
MCM10,up,GO:0003688 GO:0003697 GO:0005515 GO:0019899 GO:0042802 GO:0046872 GO:0006270 GO:0006974 GO:0008283
CLCF1,up,GO:0005102 GO:0005125 GO:0005127 GO:0005515 GO:0008083 GO:0002639 GO:0007166 GO:0007259 GO:0008284 GO:0019221 GO:0030183 GO:0030890 GO:0042531 GO:0043524 GO:0048295 GO:0048711
MAZ,up,GO:0000978 GO:0000981 GO:0003700 GO:0003723 GO:0005515 GO:0046872 GO:0000122 GO:0006357 GO:0006367 GO:0006369 GO:0008284 GO:0010628 GO:0014068 GO:0030335 GO:0045893 GO:0051897 GO:2001234
NEMP1,up,GO:0003674 GO:0071763
MRPL9,up,GO:0003723 GO:0003735 GO:0005515 GO:0006412 GO:0032543
CDH3,down,GO:0003674 GO:0005509 GO:0045296 GO:0001895 GO:0007155 GO:0007156 GO:0007601 GO:0009410 GO:0010628 GO:0010838 GO:0022405 GO:0031424 GO:0032773 GO:0032912 GO:0042060 GO:0043568 GO:0048023 GO:0051796 GO:0060901 GO:0090263 GO:0098742 GO:1902910
HNRNPA2B1,up,GO:0003723 GO:0003730 GO:0005515 GO:0035198 GO:0043047 GO:0097157 GO:0098505 GO:0140693 GO:1990247 GO:0000122 GO:0000398 GO:0006397 GO:0006406 GO:0031053 GO:0044806 GO:0048025 GO:0050658 GO:0051028 GO:1904358 GO:1905663 GO:1990428
SPOUT1,up,GO:0003723 GO:0005515 GO:0008168 GO:0035198 GO:0007049 GO:0010608 GO:0032259 GO:0035196 GO:0051301 GO:0051661
CENPI,up,GO:0005515 GO:0007548 GO:0034508
FBXW4,up,GO:0005515 GO:0006511 GO:0016055 GO:0030326 GO:0031146
EIF4E3,down,GO:0000340 GO:0003743 GO:0006413 GO:0006417
HAUS1,up,GO:0003674 GO:0005515 GO:0007098 GO:0051225 GO:0051301
GFOD1,down,
TRAF1,up,GO:0005164 GO:0005515 GO:0008270 GO:0031625 GO:0031996 GO:0042802 GO:0006915 GO:0033209 GO:0043122 GO:0046330 GO:0051092 GO:0065003 GO:0070534 GO:2001236
SLC44A3,down,GO:0005515 GO:0015220 GO:0022857 GO:0006656 GO:0015871 GO:0055085
ERBB2,up,GO:0001042 GO:0004713 GO:0004714 GO:0004888 GO:0005515 GO:0005524 GO:0008022 GO:0019838 GO:0019903 GO:0042802 GO:0043125 GO:0046982 GO:0001934 GO:0006468 GO:0007165 GO:0007166 GO:0007167 GO:0007169 GO:0007275 GO:0007422 GO:0007507 GO:0007528 GO:0008045 GO:0008284 GO:0014065 GO:0018108 GO:0022008 GO:0030182 GO:0030307 GO:0032886 GO:0033080 GO:0033088 GO:0033674 GO:0035556 GO:0038133 GO:0038134 GO:0038135 GO:0042060 GO:0042552 GO:0043066 GO:0043406 GO:0043410 GO:0043547 GO:0045727 GO:0045765 GO:0045785 GO:0045943 GO:0046777 GO:0048709 GO:0050679 GO:0070372 GO:0071363 GO:0071364 GO:0090314 GO:0099645
MSANTD3,up,
SNRNP40,up,GO:0003723 GO:0005515 GO:0000375 GO:0000398 GO:0006396 GO:0008380
NYNRIN,down,GO:0003674 GO:0003729 GO:0004521 GO:0004523 GO:0006281 GO:0008150 GO:0015074 GO:0090502
EVI2B,up,
RGL2,up,GO:0005085 GO:0005515 GO:0007265 GO:0010667 GO:0014068 GO:0032485 GO:0043547
PKN3,up,GO:0004672 GO:0004674 GO:0004698 GO:0005515 GO:0005524 GO:0031267 GO:0106310 GO:0006468 GO:0007165 GO:0010631 GO:0018105 GO:0035556
GTF2H3,no,GO:0005515 GO:0016251 GO:0046872 GO:0047485 GO:0006281 GO:0006289 GO:0006366 GO:0070816
PCGF6,up,GO:0005515 GO:0046872 GO:0000122 GO:0006357 GO:0036353 GO:0045892
ATP8A1,down,GO:0000287 GO:0005515 GO:0005524 GO:0016887 GO:0019829 GO:0090556 GO:0140326 GO:0140346 GO:0007612 GO:0030335 GO:0034220 GO:0045332 GO:0061092 GO:0098655 GO:0140331 GO:0150104
MPDU1,up,GO:0005515 GO:0006457 GO:0006488 GO:0009312
CLN5,down,GO:0005515 GO:0005537 GO:0016798 GO:0006465 GO:0007040 GO:0007042 GO:0007420 GO:0007601 GO:0022008 GO:0030163 GO:0042147 GO:0042551 GO:0070085 GO:1904426
SPINT1-AS1,down,
KRT15,down,GO:0005200 GO:0005515 GO:0097110 GO:0008544 GO:0030855 GO:0045109
TRIOBP,up,GO:0031267 GO:0031625 GO:0045159 GO:0051015 GO:0007049 GO:0007605 GO:0030047 GO:0051016 GO:0051301 GO:0060088 GO:1900026
RNASE4,down,GO:0003676 GO:0004522 GO:0004540 GO:0006379 GO:0050830 GO:0090501 GO:0090502
SIPA1L2,down,GO:0005096 GO:0008150 GO:0051056 GO:0090630
KIF15,up,GO:0003774 GO:0003777 GO:0005515 GO:0005524 GO:0008017 GO:0016887 GO:0000278 GO:0007018 GO:1901673
SH3BP4,down,GO:0005092 GO:0005515 GO:0031267 GO:0042802 GO:0006897 GO:0008285 GO:0010508 GO:0030308 GO:0032007 GO:0034260 GO:0043090 GO:0050790 GO:0061462 GO:0071230
CENPM,up,
GRAMD1C,down,GO:0005515 GO:0015485 GO:0032934 GO:0120015 GO:0120020 GO:0032366 GO:0071397 GO:0120009
MYLK,down,GO:0003779 GO:0004672 GO:0004687 GO:0005515 GO:0005516 GO:0005524 GO:0046872 GO:0006468 GO:0006939 GO:0014820 GO:0030335 GO:0032060 GO:0051928 GO:0060414 GO:0071476 GO:0090303
HNRNPA3,no,GO:0003723 GO:0003730 GO:0005515 GO:0051033 GO:0000398 GO:0051028
TTC9,down,
THBS2,down,GO:0005201 GO:0005509 GO:0005515 GO:0008201 GO:0007155 GO:0016525 GO:0051965
EXOSC8,up,GO:0004532 GO:0005515 GO:0035925 GO:0042802 GO:0000467 GO:0006396 GO:0006401 GO:0016075 GO:0034427 GO:0034473 GO:0034475 GO:0034476 GO:0043928 GO:0071028 GO:0071035 GO:0071038 GO:0071042
CUL1,up,GO:0005515 GO:0030674 GO:0031625 GO:0000082 GO:0006513 GO:0008283 GO:0009887 GO:0016567 GO:0031146 GO:0070936 GO:0097193
LOC105378460,up,
LOC101927825,up,
ABCA2,down,GO:0000166 GO:0005319 GO:0005524 GO:0042626 GO:0061135 GO:0099038 GO:0140359 GO:0001573 GO:0006629 GO:0006684 GO:0006687 GO:0006869 GO:0007626 GO:0009410 GO:0019218 GO:0032289 GO:0032383 GO:0032384 GO:0032805 GO:0042632 GO:0042986 GO:0045540 GO:0045939 GO:0046512 GO:0048545 GO:0052548 GO:0055085 GO:0060049 GO:0070723 GO:0071072 GO:0090155 GO:0090156 GO:0090370 GO:0099040 GO:0150104 GO:1901873 GO:1902004 GO:1902993 GO:1904375 GO:1905598 GO:1905601 GO:2000008
