gene,regulated,GO_IDS
BMP8B,down,GO:0005125 GO:0008083 GO:0070700 GO:0001501 GO:0001503 GO:0010862 GO:0030154 GO:0030509 GO:0051216 GO:0060395
TC2N,down,
C3,down,GO:0004866 GO:0005102 GO:0005515 GO:0031715 GO:0001798 GO:0001934 GO:0001970 GO:0006631 GO:0006954 GO:0006955 GO:0006956 GO:0006957 GO:0006958 GO:0007165 GO:0007186 GO:0009617 GO:0010575 GO:0010828 GO:0010866 GO:0010884 GO:0010951 GO:0016322 GO:0035846 GO:0045745 GO:0045766 GO:0048260 GO:0060100 GO:0097242 GO:0097278 GO:0150062 GO:0150064 GO:1905114 GO:2000427
RIMS3,down,GO:0005515 GO:0031267 GO:0044325 GO:0017156 GO:0042391 GO:0048167 GO:0048791 GO:0050806 GO:2000300
CCNB1,up,GO:0005113 GO:0005515 GO:0016538 GO:0019901 GO:0044389 GO:0060090 GO:0061575 GO:0000079 GO:0000086 GO:0001701 GO:0006468 GO:0007052 GO:0007080 GO:0010971 GO:0044772 GO:0045737 GO:0045931 GO:0048146 GO:0051301 GO:0051987 GO:0090266 GO:1905448
PARM1,down,GO:0005515 GO:0051973
CD24,down,GO:0005515 GO:0019901 GO:0030296 GO:0001666 GO:0001775 GO:0001959 GO:0002237 GO:0002768 GO:0007204 GO:0016055 GO:0016477 GO:0030856 GO:0031295 GO:0032597 GO:0032600 GO:0032913 GO:0042104 GO:0042325 GO:0042632 GO:0043406 GO:0043408 GO:0043627 GO:0045730 GO:0061098 GO:0072112 GO:0072139 GO:0097193 GO:0098609 GO:2000768
PLK1,up,GO:0000287 GO:0004672 GO:0004674 GO:0005515 GO:0005524 GO:0008017 GO:0010997 GO:0019901 GO:0042802 GO:0106310 GO:0000070 GO:0000086 GO:0000122 GO:0000132 GO:0000278 GO:0000281 GO:0001578 GO:0006468 GO:0007052 GO:0007062 GO:0007076 GO:0007077 GO:0007094 GO:0007095 GO:0007098 GO:0007346 GO:0010800 GO:0016321 GO:0016567 GO:0018105 GO:0030071 GO:0031648 GO:0032436 GO:0032465 GO:0043066 GO:0043393 GO:0045143 GO:0045184 GO:0045736 GO:0045862 GO:0051081 GO:0051443 GO:0051726 GO:0070194 GO:0071168 GO:0090435 GO:1900182 GO:1901673 GO:1901990 GO:1904668 GO:1904776 GO:1905784
INHBA,down,GO:0005125 GO:0005179 GO:0005515 GO:0008083 GO:0017046 GO:0042802 GO:0044877 GO:0070699 GO:0001541 GO:0001942 GO:0002244 GO:0006357 GO:0006366 GO:0006952 GO:0007166 GO:0007267 GO:0007399 GO:0008285 GO:0008584 GO:0009410 GO:0009611 GO:0010259 GO:0010628 GO:0010862 GO:0021773 GO:0030154 GO:0030218 GO:0030308 GO:0032689 GO:0032924 GO:0032967 GO:0035987 GO:0042326 GO:0042476 GO:0042541 GO:0042701 GO:0045578 GO:0045648 GO:0045650 GO:0045893 GO:0045944 GO:0045945 GO:0046880 GO:0046881 GO:0046882 GO:0048333 GO:0051247 GO:0060021 GO:0060279 GO:0060395 GO:0060936 GO:0061029 GO:0070374 GO:0071372 GO:0071397 GO:0097154 GO:0097191 GO:1904385 GO:2000134 GO:2001241
CCNA2,up,GO:0005515 GO:0016538 GO:0019901 GO:0019904 GO:0000079 GO:0000086 GO:0006275 GO:0006351 GO:0007265 GO:0031100 GO:0033762 GO:0036120 GO:0043687 GO:0044320 GO:0044772 GO:0044843 GO:0045893 GO:0048146 GO:0051301 GO:0071314 GO:0071373 GO:0071392 GO:0071456 GO:0071732 GO:0090102 GO:1990314
PMEL,down,GO:0005515 GO:0042802 GO:0032438 GO:0042438
RCAN2,down,GO:0003676 GO:0008597 GO:0019722 GO:0050790
DPP4,down,GO:0001618 GO:0002020 GO:0004177 GO:0004252 GO:0005102 GO:0005515 GO:0008236 GO:0008239 GO:0042802 GO:0042803 GO:0045499 GO:0001662 GO:0001666 GO:0006508 GO:0007155 GO:0008284 GO:0010716 GO:0016486 GO:0019065 GO:0031295 GO:0033632 GO:0035641 GO:0036343 GO:0042110 GO:0043542 GO:0046718 GO:0046813 GO:0050919 GO:0061025 GO:0090024 GO:0120116
SCIN,down,GO:0001786 GO:0003779 GO:0005509 GO:0005545 GO:0005546 GO:0051015 GO:0007417 GO:0008154 GO:0008285 GO:0017156 GO:0030031 GO:0032330 GO:0042989 GO:0043065 GO:0045010 GO:0045654 GO:0051014 GO:0051016 GO:0051047 GO:0051127 GO:0051693
HMGN2,up,GO:0003676 GO:0003682 GO:0003723 GO:0005515 GO:0031492 GO:0060090 GO:0006325 GO:0031640 GO:0061844
ATF5,up,GO:0000976 GO:0000977 GO:0000981 GO:0001228 GO:0003682 GO:0003700 GO:0005515 GO:0015631 GO:0019900 GO:0043565 GO:0006355 GO:0006357 GO:0007623 GO:0008285 GO:0009791 GO:0021891 GO:0021930 GO:0035264 GO:0043066 GO:0045444 GO:0045892 GO:0045893 GO:0045944 GO:0046605 GO:1902750
NOTCH3,down,GO:0005509 GO:0005515 GO:0019899 GO:0038023 GO:0042802 GO:0045296 GO:0000122 GO:0007219 GO:0007411 GO:0014016 GO:0030900 GO:0045665 GO:0045944 GO:0048661 GO:0048663 GO:0048844 GO:0072104
CLU,down,GO:0001540 GO:0005102 GO:0005515 GO:0016887 GO:0031625 GO:0044877 GO:0048156 GO:0050750 GO:0051082 GO:0051087 GO:0051787 GO:0140597 GO:0000902 GO:0001774 GO:0001836 GO:0002434 GO:0006629 GO:0006956 GO:0006958 GO:0009615 GO:0010628 GO:0017038 GO:0031333 GO:0031334 GO:0032286 GO:0032436 GO:0032760 GO:0042127 GO:0042981 GO:0043065 GO:0043691 GO:0045087 GO:0045429 GO:0048260 GO:0050821 GO:0051092 GO:0051131 GO:0051788 GO:0060548 GO:0061077 GO:0061518 GO:0061740 GO:0090201 GO:1900221 GO:1901214 GO:1901216 GO:1902004 GO:1902230 GO:1902430 GO:1902847 GO:1902949 GO:1902998 GO:1903573 GO:1905907 GO:1905908 GO:2000060
LAMP3,down,
KRTAP2-2,down,
SBSN,down,GO:0003674 GO:0008150
NDC80,up,GO:0005515 GO:0030332 GO:0042802 GO:0140483 GO:0000070 GO:0000132 GO:0000278 GO:0007052 GO:0007057 GO:0007059 GO:0007094 GO:0008315 GO:0008608 GO:0031647 GO:0051298 GO:0051301 GO:0051310 GO:0051315 GO:0051383 GO:0090267 GO:1905342
IGSF3,down,GO:0003674 GO:0032808
VAT1L,down,
PTGS1,down,GO:0004601 GO:0004666 GO:0005515 GO:0016702 GO:0020037 GO:0046872 GO:0001516 GO:0006954 GO:0006979 GO:0008217 GO:0019371 GO:0042127 GO:0098869
GPRC5A,down,GO:0004930 GO:0005515 GO:0030295 GO:0045296 GO:0007165 GO:0007175 GO:0007186 GO:0032147
PRKCG,down,GO:0004672 GO:0004674 GO:0004697 GO:0004698 GO:0004712 GO:0005515 GO:0005524 GO:0008270 GO:0106310 GO:0006468 GO:0007268 GO:0007611 GO:0007635 GO:0009636 GO:0016310 GO:0018105 GO:0031397 GO:0032095 GO:0032425 GO:0035556 GO:0042177 GO:0042752 GO:0043278 GO:0043524 GO:0046777 GO:0048265 GO:0048511 GO:0050764 GO:0060291 GO:0060384 GO:0099171 GO:1901799 GO:1990911 GO:2000300
TNFSF18,down,GO:0005102 GO:0005125 GO:0005515 GO:0032813 GO:0042802 GO:0002250 GO:0002309 GO:0002687 GO:0007165 GO:0007267 GO:0010759 GO:0033209 GO:0042129 GO:0042531 GO:0043066 GO:0043254 GO:0045785 GO:0050729 GO:0051092 GO:0090026 GO:2000329 GO:2000508
CDCA8,up,GO:0005515 GO:0000070 GO:0000278 GO:0000281 GO:0001934 GO:0006468 GO:0007052 GO:0007080 GO:0051256 GO:0051276 GO:0090267 GO:1901970 GO:1902425 GO:1903490
CYP24A1,down,GO:0005506 GO:0008403 GO:0020037 GO:0030342 GO:0062180 GO:0062181 GO:0070643 GO:0001649 GO:0006766 GO:0010430 GO:0033280 GO:0042359 GO:0042369 GO:0070561
TMEM45A,down,
RGS9,down,GO:0003924 GO:0005096 GO:0007186 GO:0007601 GO:0008277 GO:0009968 GO:0035556 GO:0036367 GO:0043547 GO:1990603
AURKA,up,GO:0004672 GO:0004674 GO:0004712 GO:0005515 GO:0005524 GO:0019901 GO:0031625 GO:0035174 GO:0046982 GO:0106310 GO:0140677 GO:0000086 GO:0000278 GO:0006468 GO:0006915 GO:0007051 GO:0007052 GO:0007057 GO:0007100 GO:0009611 GO:0009948 GO:0010389 GO:0010629 GO:0016570 GO:0018105 GO:0031647 GO:0032091 GO:0032436 GO:0032465 GO:0043066 GO:0043161 GO:0045840 GO:0045931 GO:0046605 GO:0046777 GO:0051301 GO:0051642 GO:0061523 GO:0071539 GO:0090141 GO:0097421 GO:1900195 GO:1901796 GO:1990138
SPAG5,up,GO:0005515 GO:0008017 GO:0000070 GO:0007051 GO:0007059 GO:0032388 GO:0051294 GO:0051301 GO:0051988 GO:0071539 GO:0090235 GO:1905832
TYMS,up,GO:0000900 GO:0004799 GO:0005542 GO:0042803 GO:1990825 GO:0006231 GO:0006235 GO:0007568 GO:0007623 GO:0009410 GO:0009636 GO:0017148 GO:0019860 GO:0032259 GO:0032570 GO:0033189 GO:0034097 GO:0035999 GO:0045471 GO:0046683 GO:0048589 GO:0051216 GO:0051384 GO:0051593 GO:0060574 GO:0071897 GO:0097421
CAMSAP3,down,GO:0005515 GO:0005516 GO:0030507 GO:0051011 GO:0051015 GO:0000226 GO:0001701 GO:0003341 GO:0007026 GO:0009792 GO:0030334 GO:0030951 GO:0031113 GO:0031122 GO:0031175 GO:0033043 GO:0034453 GO:0045198 GO:0045218 GO:0051893 GO:0070507 GO:0090136 GO:0098840 GO:1903358
SLC16A12,down,GO:0005308 GO:0005515 GO:0008028 GO:0015292 GO:0015293 GO:0015718 GO:0015881 GO:0046449 GO:0150104
TINAGL1,down,GO:0005201 GO:0005515 GO:0008234 GO:0043236 GO:0006508 GO:0016197
SERPINH1,up,GO:0003723 GO:0004867 GO:0005515 GO:0005518 GO:0051082 GO:0003433 GO:0006986 GO:0010951 GO:0030199 GO:0032964 GO:0051604
CLDN1,down,GO:0001618 GO:0005198 GO:0005515 GO:0042802 GO:0007155 GO:0007568 GO:0008065 GO:0009636 GO:0016338 GO:0030335 GO:0032496 GO:0034331 GO:0035633 GO:0042538 GO:0045216 GO:0045471 GO:0046718 GO:0051259 GO:0060054 GO:0061436 GO:0061772 GO:0070673 GO:0070830 GO:0071284 GO:0071346 GO:0071356 GO:0071548 GO:0071560 GO:0090303 GO:0090557 GO:0097421 GO:1903348 GO:1903545
PRC1,up,GO:0005515 GO:0008017 GO:0019894 GO:0019901 GO:0000022 GO:0000226 GO:0001578 GO:0008284 GO:0032465 GO:0051256 GO:0051301
CCNB2,up,GO:0005515 GO:0016538 GO:0045296 GO:0000079 GO:0001701 GO:0007057 GO:0008315 GO:0040008 GO:0043029 GO:0044772 GO:0048538 GO:0051301
CDCA3,up,GO:0005515 GO:0007049 GO:0008150 GO:0016567 GO:0051301
HJURP,up,GO:0003677 GO:0005515 GO:0042393 GO:0042802 GO:0007049 GO:0007059 GO:0034080 GO:0043254 GO:0051101
