gene,regulated,GO_IDS
BLOC1S2,down,GO:0005515 GO:0043015 GO:0008089 GO:0008625 GO:0016197 GO:0031175 GO:0032418 GO:0032438 GO:0048490 GO:0051036 GO:0060155 GO:0062196 GO:0072384 GO:0097345
NAA50,down,GO:0004596 GO:0005515 GO:0008080 GO:0010485 GO:0052858 GO:0006474 GO:0007064 GO:0016573 GO:0034087 GO:0071962
TSNARE1,up,GO:0000149 GO:0005484 GO:0006886 GO:0006906 GO:0048278
RPL36,down,GO:0003723 GO:0003735 GO:0002181 GO:0006412
NPIPB4,up,
GARS1,down,GO:0004081 GO:0004820 GO:0005515 GO:0005524 GO:0016740 GO:0042802 GO:0046983 GO:0006418 GO:0006426 GO:0015966 GO:0070150
PON2,up,GO:0004064 GO:0042802 GO:0046872 GO:0102007 GO:0006979 GO:0009636 GO:0019439
SLC4A5,down,GO:0005452 GO:0008510 GO:0022857 GO:0002064 GO:0003014 GO:0003073 GO:0010468 GO:0015698 GO:0015701 GO:0033326 GO:0035725 GO:0048311 GO:0050801 GO:0051453 GO:0055085 GO:0060041 GO:0098656
MAK16,down,GO:0003723 GO:0005515 GO:0000460 GO:0000470
FAM107B,down,
BRPF3,up,GO:0005515 GO:0036408 GO:0043995 GO:0043996 GO:0043997 GO:0046872 GO:0006325 GO:0006355 GO:0006357 GO:0043966 GO:0045740 GO:0050793 GO:1903706
MCTS1,down,GO:0003723 GO:0003743 GO:0005515 GO:0001731 GO:0006974 GO:0007049 GO:0008284 GO:0032790 GO:0075522
WBP1,up,GO:0005515 GO:0050699 GO:0008150
MB21D2,down,
CHIC2,down,GO:0003674 GO:0005515 GO:0008150
RBIS,down,
GAK,up,GO:0004674 GO:0005515 GO:0005524 GO:0030276 GO:0030332 GO:0051087 GO:0106310 GO:0006468 GO:0006898 GO:0007029 GO:0007030 GO:0007049 GO:0010977 GO:0016191 GO:0034067 GO:0051085 GO:0072318 GO:0072583 GO:0072659 GO:0090160 GO:1905224
HAUS5,up,GO:0003674 GO:0005515 GO:0007098 GO:0051225 GO:0051301
APOL6,down,GO:0005515 GO:0008289 GO:0006869 GO:0042157
IL1RAP,down,GO:0002114 GO:0004908 GO:0005149 GO:0050135 GO:0061809 GO:0006954 GO:0006955 GO:0032736 GO:0032753 GO:0032754 GO:0032755 GO:0038172 GO:0045087 GO:0051092 GO:0051965 GO:0065003 GO:0099151 GO:0099545 GO:0099560 GO:1905606
NOTCH1,up,GO:0003713 GO:0004857 GO:0004888 GO:0005112 GO:0005509 GO:0005515 GO:0019899 GO:0031490 GO:0042802 GO:0140537 GO:0000122 GO:0001701 GO:0001837 GO:0001889 GO:0001947 GO:0002040 GO:0002052 GO:0002085 GO:0002437 GO:0003151 GO:0003157 GO:0003160 GO:0003162 GO:0003169 GO:0003180 GO:0003181 GO:0003182 GO:0003184 GO:0003192 GO:0003198 GO:0003203 GO:0003207 GO:0003208 GO:0003209 GO:0003213 GO:0003214 GO:0003219 GO:0003222 GO:0003241 GO:0003252 GO:0003270 GO:0003273 GO:0003332 GO:0003344 GO:0006355 GO:0006357 GO:0006366 GO:0006606 GO:0006955 GO:0006959 GO:0007219 GO:0007221 GO:0007283 GO:0007368 GO:0007386 GO:0007411 GO:0007440 GO:0007492 GO:0007507 GO:0008284 GO:0008285 GO:0009912 GO:0009957 GO:0010614 GO:0010628 GO:0010629 GO:0010812 GO:0010832 GO:0014031 GO:0014807 GO:0017156 GO:0021515 GO:0021915 GO:0030163 GO:0030216 GO:0030279 GO:0030324 GO:0030335 GO:0030513 GO:0030514 GO:0030900 GO:0031069 GO:0031100 GO:0031960 GO:0032495 GO:0032496 GO:0035116 GO:0035148 GO:0035914 GO:0035924 GO:0042246 GO:0042670 GO:0043086 GO:0045070 GO:0045603 GO:0045608 GO:0045618 GO:0045662 GO:0045668 GO:0045747 GO:0045892 GO:0045893 GO:0045944 GO:0045955 GO:0046427 GO:0046533 GO:0046579 GO:0048103 GO:0048708 GO:0048709 GO:0048711 GO:0048715 GO:0048754 GO:0048873 GO:0050673 GO:0050679 GO:0050680 GO:0050768 GO:0055008 GO:0060038 GO:0060045 GO:0060253 GO:0060271 GO:0060317 GO:0060354 GO:0060379 GO:0060411 GO:0060412 GO:0060528 GO:0060740 GO:0060768 GO:0060842 GO:0060843 GO:0060948 GO:0060956 GO:0060979 GO:0060982 GO:0061101 GO:0061314 GO:0061384 GO:0062043 GO:0070168 GO:0070374 GO:0070986 GO:0071228 GO:0071372 GO:0071456 GO:0072017 GO:0072044 GO:0072091 GO:0072144 GO:0072148 GO:0072538 GO:0090051 GO:0090090 GO:0097150 GO:0097400 GO:0120163 GO:1901201 GO:1902263 GO:1902339 GO:1903849 GO:2000048 GO:2000737 GO:2000811 GO:2000974 GO:2001027
IKBKE,up,GO:0004674 GO:0004704 GO:0005515 GO:0005524 GO:0008384 GO:0019903 GO:0031625 GO:0036435 GO:0042802 GO:0070530 GO:0006468 GO:0006955 GO:0007252 GO:0008630 GO:0010467 GO:0010884 GO:0018105 GO:0035456 GO:0038061 GO:0043123 GO:0043254 GO:0048255 GO:0051091 GO:0051607 GO:0060337 GO:0060340 GO:0097400 GO:0098586
LMNTD2,up,
TNPO1,down,GO:0003723 GO:0005515 GO:0008139 GO:0031267 GO:0061608 GO:0006606
TMEM33,down,GO:0005515 GO:0034976 GO:0045087 GO:0061024 GO:0071786 GO:1903371 GO:1903896 GO:1903899
GPAM,down,GO:0004366 GO:0005515 GO:0102420 GO:0001817 GO:0006072 GO:0006631 GO:0006637 GO:0006651 GO:0006654 GO:0006655 GO:0006924 GO:0008654 GO:0009749 GO:0016024 GO:0019432 GO:0040018 GO:0042104 GO:0050798 GO:0051607 GO:0055089 GO:0055091 GO:0070236
PHLDB2,down,GO:0005515 GO:0045296 GO:0000226 GO:0010470 GO:0010717 GO:0045184 GO:0051497 GO:0051895 GO:0070507 GO:1903690 GO:1904261
ITGA10,up,GO:0005178 GO:0005518 GO:0046872 GO:0098639 GO:0007160 GO:0007229 GO:0033627 GO:0098609
LOC112268155,down,
SNORD45B,up,
ATXN7L2,up,
COX6A1,down,GO:0005515 GO:0016491 GO:0030234 GO:0006091 GO:0006123 GO:0045333 GO:0050790
ING3,down,GO:0005515 GO:0010485 GO:0035064 GO:0043995 GO:0043996 GO:0043997 GO:0043998 GO:0046872 GO:0046972 GO:0006325 GO:0006355 GO:0016573 GO:0042981 GO:0043967 GO:0043968 GO:0045893 GO:0051726 GO:1905168 GO:2000779
DYRK3,down,GO:0000287 GO:0004672 GO:0004674 GO:0004712 GO:0004713 GO:0005524 GO:0106310 GO:0006468 GO:0007049 GO:0018105 GO:0018107 GO:0018108 GO:0030218 GO:0035063 GO:0035617 GO:0043066 GO:0043518 GO:0051301 GO:0080135 GO:1902751 GO:1903008 GO:1903432
HS6ST1,up,GO:0005515 GO:0008146 GO:0017095 GO:0001525 GO:0015012 GO:0015015 GO:0048286 GO:0048666 GO:0060716
TFAM,down,GO:0000976 GO:0001018 GO:0001223 GO:0003682 GO:0003723 GO:0005515 GO:0008301 GO:0031072 GO:0034246 GO:0043565 GO:0006390 GO:0006391 GO:0033108 GO:0045893
CEP164,up,GO:0005515 GO:0006281 GO:0007049 GO:0051301 GO:0060271
CYTB,up,GO:0008121 GO:0046872 GO:0006122 GO:0045333 GO:1902600
NDST2,up,GO:0015016 GO:0019213 GO:0050119 GO:0102140 GO:0002002 GO:0002448 GO:0015012 GO:0015014 GO:0030210
PMAIP1,down,GO:0005515 GO:0001836 GO:0006915 GO:0006919 GO:0006974 GO:0010498 GO:0010907 GO:0010917 GO:0042149 GO:0043029 GO:0043065 GO:0043280 GO:0043331 GO:0043517 GO:0046902 GO:0051607 GO:0071456 GO:0072332 GO:0072593 GO:0090200 GO:0097193 GO:1902043 GO:1902237 GO:2001244
RNF181,down,GO:0004842 GO:0005515 GO:0046872 GO:0061630 GO:0016567 GO:0051865
ANP32E,down,GO:0005515 GO:0019212 GO:0042393 GO:0044183 GO:0140713 GO:0006325 GO:0006457 GO:0042981 GO:0043086
NORAD,down,
MPP4,down,GO:0005515 GO:0008150 GO:0035418
CBX1,down,GO:0003677 GO:0003682 GO:0005515 GO:0019899 GO:0035064 GO:0042802 GO:0060090 GO:1990226 GO:0000122 GO:0006325 GO:0006974
SSBP4,up,GO:0003697 GO:0005515 GO:0045944
UBTF,up,GO:0001164 GO:0001165 GO:0001181 GO:0003682 GO:0003723 GO:0005515 GO:0097110 GO:0001188 GO:0006360 GO:0006361 GO:0045943 GO:1902659
RACGAP1,down,GO:0005096 GO:0005515 GO:0005547 GO:0008017 GO:0019901 GO:0043014 GO:0043015 GO:0046872 GO:0048487 GO:0000281 GO:0000915 GO:0007266 GO:0007283 GO:0007405 GO:0008272 GO:0030218 GO:0032467 GO:0045995 GO:0050790 GO:0051056 GO:0051256 GO:0051988
NOC3L,up,GO:0003682 GO:0003723 GO:0006270 GO:0045444
MLF1,down,GO:0003677 GO:0005515 GO:0019904 GO:0002318 GO:0006351 GO:0006355 GO:0007049 GO:1901796 GO:1902806
MOB3A,up,GO:0030295 GO:0046872 GO:0001934 GO:0007165 GO:0032147
SNORD14B,up,
GLO1,down,GO:0004462 GO:0005515 GO:0008270 GO:0005975 GO:0006357 GO:0006749 GO:0009438 GO:0030316 GO:0043066
UAP1,down,GO:0003977 GO:0042802 GO:0052630 GO:0006048
NSA2,down,GO:0003723 GO:0000460 GO:0000470
LNCOG,down,
ABCC10,up,GO:0005524 GO:0008559 GO:0015431 GO:0042626 GO:0043225 GO:0140359 GO:0006691 GO:0006869 GO:0015698 GO:0042908 GO:0055085 GO:0071716
PERP,down,GO:0005515 GO:0002934 GO:0007219 GO:0034113 GO:0045862 GO:0072332 GO:0097186 GO:0097202 GO:0098609
LOC100133331,up,
TRNG,up,
ZDHHC20,down,GO:0008270 GO:0016409 GO:0019705 GO:0019706 GO:0140439 GO:0006612 GO:0018230 GO:0018345 GO:0044794
PRNP,down,GO:0001540 GO:0002020 GO:0005507 GO:0005509 GO:0005515 GO:0005521 GO:0005539 GO:0008017 GO:0015631 GO:0019828 GO:0031802 GO:0031805 GO:0038023 GO:0042802 GO:0043008 GO:0044325 GO:0044877 GO:0051087 GO:0060090 GO:0140311 GO:0140677 GO:0140693 GO:1903135 GO:1903136 GO:0001933 GO:0006878 GO:0006979 GO:0007049 GO:0007611 GO:0007616 GO:0010951 GO:0010955 GO:0031648 GO:0032147 GO:0032689 GO:0032700 GO:0032703 GO:0035584 GO:0043066 GO:0043433 GO:0043525 GO:0046007 GO:0046686 GO:0050730 GO:0050731 GO:0050860 GO:0051260 GO:0051726 GO:0061098 GO:0070885 GO:0071280 GO:0071466 GO:0090314 GO:0097062 GO:1900272 GO:1900449 GO:1901216 GO:1901379 GO:1902430 GO:1902938 GO:1902951 GO:1902992 GO:1903078 GO:1904645 GO:1904646 GO:1905664 GO:1990535
CAPN10,up,GO:0000149 GO:0004198 GO:0005515 GO:0008092 GO:0006508 GO:0006921 GO:0031532 GO:0032024 GO:0032388 GO:0032869 GO:0046326 GO:0097050 GO:2000676
SRI,down,GO:0002020 GO:0005102 GO:0005246 GO:0005509 GO:0005515 GO:0044325 GO:0046982 GO:0140297 GO:0001508 GO:0006816 GO:0006880 GO:0006942 GO:0007165 GO:0007507 GO:0007517 GO:0008016 GO:0010459 GO:0010649 GO:0010880 GO:0035774 GO:0042994 GO:0051281 GO:0051924 GO:0055118 GO:0060315 GO:0086004 GO:1901077 GO:1901841 GO:1901844 GO:2000678
AP5B1,up,GO:0005515 GO:0015031 GO:0016192 GO:0016197
HERC2P9,up,
AFF3,down,GO:0003690 GO:0003700 GO:0006355 GO:0010468 GO:0034612 GO:0035116
CNN3,down,GO:0003779 GO:0005516 GO:0098641 GO:0030855 GO:0031032 GO:0098609
OST4,down,GO:0005515 GO:0006487 GO:0018279
RPS19,down,GO:0003723 GO:0003735 GO:0005515 GO:0017134 GO:0019901 GO:0042802 GO:0000028 GO:0000462 GO:0002181 GO:0002548 GO:0006364 GO:0006412 GO:0007000 GO:0009991 GO:0030218 GO:0030490 GO:0031640 GO:0042274 GO:0050829 GO:0060265 GO:0060266 GO:0061844
EVI5,down,GO:0005096 GO:0005515 GO:0031267 GO:0007049 GO:0042147 GO:0043547 GO:0051301 GO:0090630 GO:1902017
ARSA,up,GO:0004065 GO:0004098 GO:0005509 GO:0005515 GO:0008484 GO:0006629
MIR4751,up,
MED22,up,GO:0003712 GO:0005515 GO:0032968 GO:0051123 GO:0060261
RANBP2,down,GO:0003723 GO:0003755 GO:0005096 GO:0005515 GO:0016018 GO:0019789 GO:0031267 GO:0046872 GO:0061665 GO:0000413 GO:0006111 GO:0006457 GO:0006607 GO:0006913 GO:0016925 GO:0033133 GO:0051028 GO:0051168 GO:0051642
ND4L,up,GO:0008137 GO:0006120 GO:0009060 GO:0042776
PTP4A1,down,GO:0004725 GO:0005515 GO:0008138 GO:0006470 GO:0007049 GO:0030335
LMAN1,down,GO:0005515 GO:0005537 GO:0046872 GO:0051082 GO:0006457 GO:0006888 GO:0007030 GO:0007596 GO:0010638 GO:0032527 GO:0034498 GO:0051238 GO:1903215
BRD3OS,up,
HYCC2,down,GO:0005515 GO:0046854 GO:0072659
RPS3A,down,GO:0003723 GO:0003735 GO:0005515 GO:0048027 GO:0002181 GO:0006412 GO:0006413 GO:0030154 GO:0043066
LEPR,down,GO:0004888 GO:0004896 GO:0005515 GO:0017046 GO:0019955 GO:0038021 GO:0001525 GO:0001934 GO:0005977 GO:0006094 GO:0006112 GO:0006909 GO:0007166 GO:0007275 GO:0008203 GO:0010507 GO:0014009 GO:0019221 GO:0019953 GO:0030217 GO:0033210 GO:0042593 GO:0044321 GO:0045721 GO:0046850 GO:0051049 GO:0051346 GO:0060259 GO:0097009 GO:0098868 GO:0120162 GO:0150104
ROMO1,down,GO:0003674 GO:0005515 GO:0006886 GO:0008284 GO:0030150 GO:0031640 GO:0034614 GO:0042742 GO:0045039 GO:0050829 GO:0050830 GO:0051838 GO:0061844 GO:0090399 GO:2000379
SNHG29,down,
DYNLL2,down,GO:0005515 GO:0045505 GO:0007017
PI4KAP2,up,GO:0004430 GO:0052742 GO:0016310 GO:0046854 GO:0048015
MIR3940,up,
MZF1,up,GO:0000976 GO:0000978 GO:0000981 GO:0001227 GO:0001228 GO:0003700 GO:0005515 GO:0042803 GO:0046872 GO:0000122 GO:0006355 GO:0045944
NECAB3,up,GO:0005509 GO:0005515 GO:0009306 GO:0019538 GO:0042984
COX16,down,GO:0003674 GO:0005515 GO:0033617
VPS9D1-AS1,up,
CALU,down,GO:0005509 GO:0005515 GO:0008150
SAMD10,up,
UBE2D2,down,GO:0004842 GO:0005515 GO:0005524 GO:0061630 GO:0061631 GO:0000209 GO:0006511 GO:0016567 GO:0036211 GO:0051865 GO:0070936
LOC112268254,up,
PSMA4,down,GO:0005515 GO:0010498 GO:0043161
CDK10,up,GO:0004674 GO:0004693 GO:0005515 GO:0005524 GO:0106310 GO:0006468 GO:0007089 GO:0007346 GO:0008285 GO:0018107 GO:0030030 GO:0032956 GO:0043410 GO:1902018
PLXNB1,up,GO:0004888 GO:0005096 GO:0005515 GO:0017154 GO:0030215 GO:0032794 GO:0007162 GO:0008360 GO:0014068 GO:0016477 GO:0030334 GO:0033689 GO:0035556 GO:0043087 GO:0043547 GO:0043931 GO:0048812 GO:0050772 GO:0051493 GO:0071526 GO:1900220 GO:1902287 GO:1904862
CD59,down,GO:0001848 GO:0005515 GO:0001971 GO:0007166 GO:0007596 GO:0030449 GO:1903659
MRPL19,down,GO:0003735 GO:0005515 GO:0032543
ADM,up,GO:0005102 GO:0005179 GO:0031700 GO:0001570 GO:0001666 GO:0001843 GO:0002026 GO:0002031 GO:0003073 GO:0006954 GO:0007165 GO:0007189 GO:0007204 GO:0007507 GO:0007565 GO:0007568 GO:0008209 GO:0008283 GO:0008284 GO:0008285 GO:0009409 GO:0009611 GO:0010460 GO:0019933 GO:0031100 GO:0031102 GO:0031623 GO:0032496 GO:0032868 GO:0035809 GO:0042475 GO:0042594 GO:0043065 GO:0043116 GO:0045766 GO:0045906 GO:0046879 GO:0048589 GO:0051384 GO:0055074 GO:0060670 GO:0097084 GO:0097647 GO:1990410 GO:2000184 GO:2001214
SF3A2,up,GO:0003723 GO:0005515 GO:0008270 GO:0000245 GO:0000389 GO:0000398 GO:0006397 GO:0010976 GO:1903241
ATOX1,down,GO:0005507 GO:0005515 GO:0016530 GO:0016531 GO:0032767 GO:1903136 GO:0006825 GO:0006878 GO:0006979
FGF1,down,GO:0005104 GO:0005178 GO:0005515 GO:0008083 GO:0008201 GO:0030544 GO:0044548 GO:0001525 GO:0001759 GO:0001934 GO:0007165 GO:0008284 GO:0008543 GO:0009653 GO:0009887 GO:0010595 GO:0010628 GO:0030154 GO:0030324 GO:0030334 GO:0030335 GO:0032148 GO:0034605 GO:0042060 GO:0043406 GO:0045542 GO:0045766 GO:0045944 GO:0050673 GO:0050679 GO:0051781 GO:0060681 GO:0070374 GO:0072163 GO:1901509 GO:1902533 GO:1903672 GO:2000347 GO:2000544
AMPD2,up,GO:0003876 GO:0005515 GO:0046872 GO:0006188 GO:0032264 GO:0046033 GO:0052652 GO:0097009
SH3RF1,down,GO:0005078 GO:0005515 GO:0046872 GO:0061630 GO:0001764 GO:0016567 GO:0032436 GO:0043066 GO:0043154 GO:0043370 GO:0046330 GO:0051865 GO:2000564 GO:2001237
EML6,down,
ENTREP3,up,GO:0005515 GO:0050699 GO:0008150
PTGES,up,GO:0004364 GO:0004602 GO:0004667 GO:0005515 GO:0043295 GO:0050220 GO:0001516 GO:0006693 GO:0007165 GO:0008283 GO:0008285 GO:0019233 GO:0031620 GO:0032308 GO:0050727 GO:0098869
TRIM59,down,GO:0005515 GO:0008270 GO:0061630 GO:0016567 GO:0043124 GO:0045087 GO:0046597
EHMT2,up,GO:0000977 GO:0001222 GO:0002039 GO:0005515 GO:0008270 GO:0016279 GO:0018024 GO:0046974 GO:0046976 GO:0070742 GO:1990841 GO:0000122 GO:0006275 GO:0006306 GO:0006325 GO:0007130 GO:0007286 GO:0007616 GO:0009267 GO:0009566 GO:0010424 GO:0018027 GO:0034968 GO:0035265 GO:0036166 GO:0044030 GO:0045471 GO:0048148 GO:0048599 GO:0048665 GO:0051567 GO:0051569 GO:0051570 GO:0060992 GO:0070734 GO:0071314 GO:0071466 GO:1902902
ZKSCAN1,down,GO:0000978 GO:0000981 GO:0005515 GO:0046872 GO:0006357
PNPLA7,up,GO:0004622 GO:0102545 GO:0034638
PITPNM1,up,GO:0005509 GO:0005515 GO:0008525 GO:0008526 GO:0030971 GO:0031210 GO:0035091 GO:0070300 GO:0006629 GO:0006661 GO:0007420 GO:0007602 GO:0015031 GO:0015914 GO:0120009
HSPA13,down,GO:0005515 GO:0005524 GO:0016887 GO:0031072 GO:0044183 GO:0051082 GO:0051787 GO:0140662 GO:0034620 GO:0042026 GO:0051085
AMD1,down,GO:0004014 GO:0005515 GO:0019810 GO:0042802 GO:0006595 GO:0006597 GO:0008295 GO:0046500
PAWR,down,GO:0003714 GO:0003779 GO:0005515 GO:0019899 GO:0043522 GO:0000122 GO:0006915 GO:0010628 GO:0010629 GO:0030889 GO:0042130 GO:0042986 GO:0043065 GO:0048147 GO:0050860 GO:0051017 GO:0097190 GO:1901300 GO:2000774
PIN4,down,GO:0003677 GO:0003723 GO:0003755 GO:0005515 GO:0006364
BPNT2,down,GO:0008254 GO:0008441 GO:0046872 GO:0097657 GO:0001501 GO:0001958 GO:0002063 GO:0009791 GO:0030204 GO:0042733 GO:0046854 GO:0046855
ITIH4,up,GO:0004866 GO:0004867 GO:0005515 GO:0006953 GO:0010951 GO:0030212 GO:0034097
NDUFC1,down,GO:0008137 GO:0006120 GO:0009060 GO:0032981 GO:0042776
HAS2,down,GO:0005515 GO:0042802 GO:0050501 GO:0001570 GO:0001822 GO:0008284 GO:0010838 GO:0014911 GO:0030213 GO:0030335 GO:0035810 GO:0036120 GO:0036302 GO:0044849 GO:0045226 GO:0051549 GO:0060349 GO:0070295 GO:0071347 GO:0071356 GO:0071498 GO:0085029 GO:0090500 GO:1900026 GO:1900127 GO:1900625 GO:1901201
WDR36,down,GO:0003723 GO:0006364 GO:0007601 GO:0008150 GO:0050896
SYPL1,down,GO:0005515 GO:0007268
RESF1,up,GO:0005515 GO:0042393 GO:1990226 GO:0045869 GO:0090309
CACNB1,up,GO:0005245 GO:0005515 GO:0008331 GO:0007268 GO:0007528 GO:0045933 GO:0070588 GO:1901385 GO:1902514 GO:1904646
SOAT1,down,GO:0000062 GO:0004772 GO:0005515 GO:0008374 GO:0015485 GO:0034736 GO:0008203 GO:0010742 GO:0010878 GO:0033344 GO:0034379 GO:0034383 GO:0042632 GO:0042986
CEP55,down,GO:0005515 GO:0042802 GO:0000281 GO:0006997 GO:0007080 GO:0014066 GO:0045184 GO:0061952 GO:1904888
WDR6,up,GO:0003723 GO:0005515 GO:0008285 GO:0010507 GO:0030488 GO:0070314
ZNF335,up,GO:0000976 GO:0000978 GO:0005515 GO:0046872 GO:0001701 GO:0002052 GO:0007420 GO:0010468 GO:0021895 GO:0040029 GO:0045944 GO:0048812 GO:0048854 GO:0050671 GO:0050769 GO:0051569 GO:0080182
SUB1,down,GO:0000978 GO:0003697 GO:0003713 GO:0003723 GO:0005515 GO:0042802 GO:0001111 GO:0006357 GO:0032092 GO:0051053 GO:0060261 GO:0060395 GO:1905463
NDUFS4,down,GO:0005515 GO:0008137 GO:0001932 GO:0006120 GO:0007420 GO:0009060 GO:0032981 GO:0042776 GO:0045333 GO:0048146 GO:0051591 GO:0072593
PBK,down,GO:0004674 GO:0004706 GO:0004708 GO:0004713 GO:0005515 GO:0005524 GO:0106310 GO:0000278 GO:0001933 GO:0018105 GO:0018108 GO:0032435 GO:0032873 GO:0034644 GO:0038066 GO:0043161 GO:0050728 GO:1904291
PECAM1,up,GO:0004888 GO:0005515 GO:0042803 GO:0001934 GO:0006909 GO:0007156 GO:0007159 GO:0007165 GO:0007166 GO:0008037 GO:0030335 GO:0035633 GO:0035696 GO:0050731 GO:0050904 GO:0061028 GO:0070830 GO:0072011 GO:0072672 GO:0098609 GO:0098742 GO:0150107
UNKL,up,GO:0005515 GO:0016740 GO:0046872 GO:0016567
ANKLE2,up,GO:0005515 GO:0019888 GO:0051721 GO:0007084 GO:0007417 GO:0035307 GO:0042326 GO:0043066 GO:0050790 GO:0051301
MIGA2,up,GO:0005515 GO:0042803 GO:0046982 GO:0008053 GO:0060348
LINC01116,down,
EEIG1,up,
EBI3,up,GO:0004896 GO:0005125 GO:0005515 GO:0017046 GO:0019955 GO:0045523 GO:0006959 GO:0019221 GO:0032729 GO:0033210 GO:0042088 GO:0042098 GO:0046641
TBC1D8B,down,GO:0005096 GO:0005509 GO:0005515 GO:0003094 GO:0016192 GO:0090630
INTS1,up,
SYDE1,up,GO:0005096 GO:0030695 GO:0007165 GO:0016477 GO:0031532 GO:0046578 GO:0051493 GO:0090630 GO:1901165
CRIPT,down,GO:0005515 GO:0008017 GO:0030165 GO:0044877 GO:0097110 GO:0031122 GO:0035372 GO:0045184 GO:0099151 GO:1902897
LAMA5,up,GO:0005178 GO:0005201 GO:0001658 GO:0001738 GO:0001942 GO:0007229 GO:0007411 GO:0007517 GO:0009887 GO:0009888 GO:0016331 GO:0016477 GO:0030155 GO:0030324 GO:0030334 GO:0034446 GO:0036484 GO:0042475 GO:0045995 GO:0050678 GO:0060271 GO:0060445 GO:0072659 GO:0098609 GO:0099173
CLCF1,up,GO:0005102 GO:0005125 GO:0005127 GO:0005515 GO:0008083 GO:0002639 GO:0007166 GO:0007259 GO:0008284 GO:0019221 GO:0030183 GO:0030890 GO:0042531 GO:0043524 GO:0048295 GO:0048711
HIGD1A,down,
CUEDC1,up,
CCDC59,down,
POMT2,up,GO:0000030 GO:0004169 GO:0046872 GO:0035269 GO:1904100
EHMT2-AS1,up,
GOLGA2P5,up,GO:0005515 GO:0007030 GO:0051225
RPS27A,down,GO:0003723 GO:0003735 GO:0005515 GO:0031386 GO:0031625 GO:0046872 GO:0002181 GO:0006412 GO:0016567 GO:0019941
CSNK2A3,down,
RFX1,up,GO:0000978 GO:0000981 GO:0005515 GO:1990837 GO:0006357 GO:0006955
PRDX4,down,GO:0005515 GO:0008379 GO:0042802 GO:0060090 GO:0140313 GO:0006979 GO:0007252 GO:0007283 GO:0008584 GO:0018401 GO:0022417 GO:0030198 GO:0033554 GO:0042744 GO:0045454 GO:0072593 GO:0098869 GO:2000255
ARFGAP1,up,GO:0005096 GO:0005515 GO:0046872 GO:0015031 GO:0016192 GO:0030100 GO:0032012 GO:0050790
SLX1A-SULT1A3,up,
AFF4,down,GO:0005515 GO:0007286 GO:0010468
CSAD,up,GO:0004068 GO:0004782 GO:0016831 GO:0030170 GO:0019449 GO:0019452 GO:0042412
BRF1,up,GO:0000995 GO:0001006 GO:0005515 GO:0017025 GO:0046872 GO:0006352 GO:0006383 GO:0006384 GO:0009303 GO:0009304 GO:0045945 GO:0070897
NUP37,down,GO:0005515 GO:0006913 GO:0007049 GO:0007059 GO:0015031 GO:0051028 GO:0051301
NES,down,GO:0003674 GO:0005515 GO:0019215 GO:0031730 GO:0000086 GO:0007417 GO:0007420 GO:0030844 GO:0031076 GO:0032091 GO:0043086 GO:0043524 GO:0048858 GO:0051402 GO:0072089 GO:2000179
RPAP1,up,GO:0003677 GO:0005515 GO:0016779 GO:0006366
SMAD5,down,GO:0000978 GO:0000981 GO:0001227 GO:0005515 GO:0017151 GO:0031625 GO:0046872 GO:0070411 GO:1990837 GO:0000122 GO:0001657 GO:0001880 GO:0002051 GO:0003161 GO:0006357 GO:0006468 GO:0007165 GO:0007179 GO:0007281 GO:0009653 GO:0009880 GO:0010629 GO:0030154 GO:0030218 GO:0030509 GO:0043066 GO:0045669 GO:0045893 GO:0051216 GO:0060048 GO:0060348 GO:0060395 GO:0071407 GO:1901522 GO:1902045
SLC27A1,up,GO:0000166 GO:0004467 GO:0005324 GO:0005515 GO:0015225 GO:0015245 GO:0015562 GO:0031957 GO:0042802 GO:0047676 GO:0090434 GO:1901480 GO:0001579 GO:0001676 GO:0006646 GO:0006654 GO:0006655 GO:0006656 GO:0006659 GO:0006661 GO:0009409 GO:0010867 GO:0015878 GO:0015909 GO:0015911 GO:0031652 GO:0032049 GO:0032868 GO:0033211 GO:0044381 GO:0044539 GO:0071072 GO:0071902 GO:0140115 GO:0150104 GO:1905135 GO:1990379
NME7,down,GO:0004550 GO:0005515 GO:0005524 GO:0046872 GO:0006165 GO:0006183 GO:0006228 GO:0006241
FCHSD1,up,GO:0008289 GO:0007274 GO:0030833 GO:0030838 GO:0061024
PILRB,up,GO:0005515 GO:0042288 GO:0007169 GO:0007171
NEDD8,down,GO:0005515 GO:0031386 GO:0031625 GO:0006357 GO:0006508 GO:0006511 GO:0008104 GO:0009653 GO:0016567 GO:0019941 GO:0030162 GO:0036211 GO:0045116
OBSL1,up,GO:0005515 GO:0008093 GO:0000226 GO:0007010 GO:0007030 GO:0007088 GO:0007156 GO:0007416 GO:0010842 GO:0034067 GO:0050775 GO:0055003
SNORD68,up,
FAM20A,down,GO:0004674 GO:0005515 GO:0016773 GO:0043539 GO:0001934 GO:0006468 GO:0009617 GO:0031214 GO:0044691 GO:0055074 GO:0070166 GO:0071902
