gene,regulated,GO_IDS
PLXNA3,up,GO:0005515 GO:0017154 GO:0007162 GO:0007411 GO:0008360 GO:0021612 GO:0021628 GO:0021637 GO:0021766 GO:0021785 GO:0021828 GO:0021860 GO:0030334 GO:0043087 GO:0048843 GO:0048846 GO:0050772 GO:0050919 GO:0051495 GO:0071526 GO:0097485 GO:1902287
GIGYF1,up,GO:0005515 GO:0008150 GO:0048009
CHKB-CPT1B,up,
RBM39,up,GO:0003723 GO:0005515 GO:0050733 GO:0006396 GO:0006397 GO:0008380 GO:0048024
LZTS2,up,GO:0005515 GO:0000281 GO:0016055 GO:0051013 GO:0051168 GO:0051255 GO:0090090
LOC155060,up,
ZNF692,up,GO:0000978 GO:0001227 GO:0003700 GO:0005515 GO:0046872 GO:0000122 GO:0006111 GO:0006357
ND3,down,GO:0005515 GO:0008137 GO:0006120 GO:0006979 GO:0009060 GO:0009642 GO:0042776 GO:0071385
CSF1,up,GO:0005125 GO:0005157 GO:0005515 GO:0008083 GO:0042802 GO:0042803 GO:0001503 GO:0001780 GO:0001954 GO:0002158 GO:0002931 GO:0003006 GO:0006954 GO:0007169 GO:0007265 GO:0008284 GO:0009612 GO:0010628 GO:0010743 GO:0010744 GO:0010759 GO:0014070 GO:0030224 GO:0030225 GO:0030278 GO:0030316 GO:0030335 GO:0032496 GO:0032946 GO:0035702 GO:0038145 GO:0040018 GO:0042117 GO:0042476 GO:0042488 GO:0045087 GO:0045651 GO:0045657 GO:0045672 GO:0045860 GO:0046579 GO:0048873 GO:0051247 GO:0060444 GO:0060611 GO:0060763 GO:0061518 GO:0061519 GO:0071374 GO:0071677 GO:0097529 GO:0120041 GO:1901215 GO:1902228 GO:1904141 GO:1905523
ANKZF1,up,GO:0005515 GO:0046872 GO:0030433 GO:0070301
MATCAP1,up,GO:0004181 GO:0005515 GO:0106423 GO:0006508 GO:0007420
TONSL,up,GO:0005515 GO:0042393 GO:0140566 GO:0000724 GO:0006325 GO:0031297
ERH,down,GO:0003723 GO:0005515 GO:0008327 GO:0006139 GO:0006213 GO:0007049
FOXP4,up,GO:0000978 GO:0000981 GO:0001227 GO:0005515 GO:0046872 GO:0000122 GO:0006357
COX7A2,down,GO:0005515 GO:0016491 GO:0002082 GO:0006123 GO:0045333 GO:0097250
EPHB4,up,GO:0004714 GO:0005003 GO:0005005 GO:0005515 GO:0005524 GO:0001525 GO:0002042 GO:0003007 GO:0007155 GO:0007169 GO:0007275 GO:0007411 GO:0018108 GO:0033674 GO:0046777 GO:0048013
RPL34,down,GO:0003723 GO:0003735 GO:0005515 GO:0045296 GO:0002181 GO:0006412
CDK5RAP3,up,GO:0005515 GO:0019901 GO:0030332 GO:0044389 GO:0051019 GO:0051059 GO:0097371 GO:0000079 GO:0001889 GO:0001933 GO:0007095 GO:0007346 GO:0007420 GO:0008283 GO:0010921 GO:0030262 GO:0030968 GO:0031398 GO:0032088 GO:0034976 GO:0042177 GO:0043407 GO:0044387 GO:0044818 GO:0045664 GO:0045944 GO:0060318 GO:0071569 GO:0071901 GO:1900182 GO:1901798 GO:2000060
ANO8,up,GO:0005229 GO:0006821 GO:0034220 GO:0055085 GO:1902476
TRNC,up,
TRNS1,up,
RECQL4,up,GO:0000405 GO:0004386 GO:0005515 GO:0005524 GO:0009378 GO:0016887 GO:0032357 GO:0043138 GO:0061821 GO:1990814 GO:0000723 GO:0000724 GO:0006260 GO:0006268 GO:0006281 GO:0006310 GO:0032508 GO:0061820
SNHG5,down,
LIME1,up,GO:0005515 GO:0019901 GO:0002250 GO:0006357 GO:0014066 GO:0043122 GO:0043405 GO:0050852 GO:0050853 GO:0051279 GO:1901222
NEURL4,up,GO:0005515 GO:0061630 GO:0016567
DENND4B,up,GO:0005085 GO:0032483 GO:0050790
AP1G2,up,GO:0005515 GO:0035615 GO:0140312 GO:0006886 GO:0006896 GO:0016192
KAT2A,up,GO:0003682 GO:0003713 GO:0004402 GO:0005515 GO:0010484 GO:0019903 GO:0042826 GO:0043992 GO:0043997 GO:0061733 GO:0106078 GO:0106229 GO:0140297 GO:0001701 GO:0001756 GO:0001819 GO:0001843 GO:0006094 GO:0006282 GO:0006338 GO:0006355 GO:0006357 GO:0007507 GO:0007616 GO:0014070 GO:0016578 GO:0018393 GO:0021537 GO:0022037 GO:0030901 GO:0031063 GO:0031346 GO:0031647 GO:0031667 GO:0035066 GO:0035264 GO:0035521 GO:0035522 GO:0043484 GO:0043966 GO:0043983 GO:0044154 GO:0045589 GO:0045722 GO:0045893 GO:0045944 GO:0045995 GO:0046600 GO:0048144 GO:0048167 GO:0048312 GO:0050863 GO:0051302 GO:0051726 GO:0060173 GO:0061035 GO:0071356 GO:0071929 GO:0090043 GO:0106077 GO:0106227 GO:1903010 GO:1990090 GO:2000036 GO:2000727
TRNF,up,
TRNM,up,
RPL38,down,GO:0003723 GO:0003735 GO:0005515 GO:0001501 GO:0001503 GO:0002181 GO:0006412 GO:0006417 GO:0007605 GO:0022618 GO:0034463 GO:0042474 GO:0048318
KLHL17,up,GO:0005515 GO:0031208 GO:0051015 GO:0060090 GO:0007420 GO:0016567 GO:0030036 GO:0140252
ETS1,down,GO:0000976 GO:0000978 GO:0000981 GO:0001222 GO:0001228 GO:0003676 GO:0003677 GO:0003700 GO:0005515 GO:0030374 GO:0042802 GO:0061629 GO:0006357 GO:0006955 GO:0008285 GO:0010595 GO:0010628 GO:0030154 GO:0030578 GO:0043536 GO:0045648 GO:0045765 GO:0045766 GO:0045893 GO:0045944 GO:0048870 GO:0050729 GO:1902895 GO:1904996
TNS2,up,GO:0004725 GO:0005515 GO:0019900 GO:0042802 GO:0046872 GO:0001822 GO:0008285 GO:0014850 GO:0019725 GO:0032963 GO:0035264 GO:0035335 GO:0046627 GO:0048871
ATP5MJ,down,GO:0003674 GO:0008150 GO:0015986
ATP5F1E,down,GO:0005515 GO:0016787 GO:0046933 GO:0015986 GO:0042776 GO:1902600
CIC,up,GO:0000977 GO:0000981 GO:0005515 GO:0006357 GO:0007420 GO:0007612 GO:0007613 GO:0035176 GO:0045892
PIDD1,up,GO:0004175 GO:0005123 GO:0005515 GO:0006915 GO:0006919 GO:0006974 GO:0006977 GO:0007165 GO:0008625 GO:0016540 GO:0043065 GO:0043066 GO:0043122 GO:0051092
YJU2B,up,GO:0005515 GO:0000398 GO:0008380 GO:0009615
RGL4,up,GO:0005085 GO:0007265 GO:0043547
LINC01000,up,
MAMDC4,up,
AKAP12,down,GO:0005515 GO:0005516 GO:0008179 GO:0051018 GO:0007165 GO:0007186 GO:0007193 GO:0010738 GO:0010739 GO:0032496 GO:0032760 GO:0035733 GO:0043116 GO:0050804 GO:0051602 GO:0051770 GO:0061870 GO:0070374 GO:0071347 GO:0071356 GO:0090036 GO:1900143
CPT1B,up,GO:0004095 GO:0005515 GO:0006631 GO:0006635 GO:0006853 GO:0009437 GO:0009637 GO:0015909
FAM20C,up,GO:0002020 GO:0004672 GO:0004674 GO:0005509 GO:0005515 GO:0005524 GO:0016773 GO:0030145 GO:0043621 GO:0106310 GO:0006468 GO:0019538 GO:0030501 GO:0031214 GO:0036179 GO:0040036 GO:0043687 GO:0045669 GO:0046777 GO:0051174 GO:0070166 GO:0071895 GO:0097187
BMP4,up,GO:0005125 GO:0005515 GO:0008083 GO:0008201 GO:0039706 GO:0042056 GO:0070700 GO:0000122 GO:0001649 GO:0001657 GO:0001658 GO:0001822 GO:0001823 GO:0001843 GO:0001934 GO:0001938 GO:0001958 GO:0002043 GO:0002062 GO:0002244 GO:0002320 GO:0003014 GO:0003130 GO:0003139 GO:0003148 GO:0003149 GO:0003150 GO:0003163 GO:0003180 GO:0003184 GO:0003197 GO:0003198 GO:0003215 GO:0003277 GO:0003279 GO:0003323 GO:0003337 GO:0006366 GO:0007182 GO:0007281 GO:0007492 GO:0007500 GO:0008284 GO:0008285 GO:0009791 GO:0009948 GO:0010159 GO:0010453 GO:0010595 GO:0010628 GO:0010629 GO:0010718 GO:0010862 GO:0010942 GO:0021537 GO:0021904 GO:0021978 GO:0021983 GO:0030218 GO:0030224 GO:0030225 GO:0030501 GO:0030509 GO:0030513 GO:0032092 GO:0032331 GO:0032967 GO:0033085 GO:0033088 GO:0034504 GO:0035116 GO:0035990 GO:0035993 GO:0036305 GO:0042306 GO:0042326 GO:0042475 GO:0042476 GO:0042487 GO:0042491 GO:0042733 GO:0043065 GO:0043066 GO:0043401 GO:0043407 GO:0043410 GO:0045603 GO:0045606 GO:0045662 GO:0045666 GO:0045669 GO:0045778 GO:0045786 GO:0045839 GO:0045843 GO:0045892 GO:0045893 GO:0045944 GO:0048286 GO:0048392 GO:0048661 GO:0048663 GO:0048701 GO:0048745 GO:0048754 GO:0050679 GO:0050680 GO:0050918 GO:0051150 GO:0055007 GO:0055020 GO:0060197 GO:0060235 GO:0060272 GO:0060363 GO:0060391 GO:0060393 GO:0060395 GO:0060425 GO:0060433 GO:0060438 GO:0060440 GO:0060441 GO:0060442 GO:0060449 GO:0060502 GO:0060503 GO:0060513 GO:0060548 GO:0060592 GO:0060684 GO:0060686 GO:0060687 GO:0060976 GO:0061036 GO:0061047 GO:0061149 GO:0061151 GO:0061155 GO:0061312 GO:0061626 GO:0070244 GO:0070374 GO:0071773 GO:0071893 GO:0072015 GO:0072097 GO:0072101 GO:0072104 GO:0072125 GO:0072138 GO:0072161 GO:0072192 GO:0072193 GO:0072198 GO:0072200 GO:0072205 GO:0090184 GO:0090191 GO:0090194 GO:1900745 GO:1901964 GO:1902893 GO:1902894 GO:1903800 GO:1904238 GO:1904706 GO:1904753 GO:1905072 GO:1905312 GO:1905770 GO:2000005 GO:2000007 GO:2000137 GO:2001237
AMIGO2,down,GO:0005515 GO:0007156 GO:0007157 GO:0007420 GO:0043066 GO:0043069 GO:0051965
CLK2,up,GO:0004674 GO:0004712 GO:0004713 GO:0005515 GO:0005524 GO:0042802 GO:0106310 GO:0006468 GO:0010212 GO:0018108 GO:0043484 GO:0045721 GO:0046777
MARCKSL1,up,GO:0005515 GO:0005516 GO:0051015 GO:0007015 GO:0007417 GO:0008283 GO:0008284
RHBDF1,up,GO:0004252 GO:0005515 GO:0019838 GO:0008283 GO:0015031 GO:0016477 GO:0042058 GO:0050708 GO:0050709 GO:0061136
SBNO2,up,GO:0031490 GO:0042393 GO:0002281 GO:0006355 GO:0030282 GO:0030316 GO:0045892 GO:0045944 GO:0050727 GO:0061430 GO:0071222 GO:0071348 GO:0071354 GO:0072675 GO:1990830
